id,resource_type
9787,resource_type 4
9787,resource_type 6
4740,resource_type 6
4053,resource_type 8
6376,resource_type 6
6376,resource_type 8
13330,resource_type 8
13330,resource_type 6
8036,resource_type 6
3895,resource_type 8
333,resource_type 8
333,resource_type 6
16024,resource_type 4
16024,resource_type 8
10696,resource_type 4
10696,resource_type 8
17505,resource_type 8
17505,resource_type 6
4045,resource_type 6
4045,resource_type 8
18399,resource_type 8
18399,resource_type 6
11874,resource_type 6
11874,resource_type 8
17062,resource_type 6
17062,resource_type 8
8042,resource_type 8
11725,resource_type 8
750,resource_type 8
7315,resource_type 8
16339,resource_type 8
2212,resource_type 8
7545,resource_type 8
14767,resource_type 8
5282,resource_type 8
12389,resource_type 8
1380,resource_type 8
10409,resource_type 2
10658,resource_type 8
6144,resource_type 8
10370,resource_type 8
17852,resource_type 8
5032,resource_type 8
5370,resource_type 8
12273,resource_type 8
1998,resource_type 8
17379,resource_type 8
252,resource_type 8
14875,resource_type 8
6834,resource_type 8
9158,resource_type 8
8694,resource_type 8
7348,resource_type 8
12661,resource_type 8
7171,resource_type 8
4733,resource_type 8
1931,resource_type 8
14047,resource_type 8
611,resource_type 8
9354,resource_type 8
15287,resource_type 8
13403,resource_type 8
982,resource_type 8
8581,resource_type 8
7504,resource_type 8
17653,resource_type 8
2741,resource_type 8
10977,resource_type 2
8359,resource_type 8
7385,resource_type 8
8467,resource_type 8
11740,resource_type 8
9778,resource_type 8
15626,resource_type 8
3949,resource_type 8
3663,resource_type 8
17209,resource_type 8
400,resource_type 8
4861,resource_type 8
805,resource_type 8
11989,resource_type 8
748,resource_type 8
10508,resource_type 8
5977,resource_type 8
2090,resource_type 8
5257,resource_type 8
8159,resource_type 8
1135,resource_type 8
6679,resource_type 8
6313,resource_type 8
1231,resource_type 8
1706,resource_type 8
16741,resource_type 8
4629,resource_type 8
3491,resource_type 8
9852,resource_type 8
10293,resource_type 8
9596,resource_type 8
5300,resource_type 8
15871,resource_type 8
1566,resource_type 8
4254,resource_type 8
2652,resource_type 8
484,resource_type 8
1588,resource_type 8
10561,resource_type 8
7174,resource_type 8
12209,resource_type 8
17627,resource_type 8
3701,resource_type 2
15517,resource_type 8
16136,resource_type 8
9720,resource_type 8
5184,resource_type 8
11581,resource_type 8
6327,resource_type 8
16645,resource_type 8
1704,resource_type 8
4279,resource_type 8
12527,resource_type 8
47,resource_type 8
5617,resource_type 8
8530,resource_type 8
11653,resource_type 8
13920,resource_type 8
3191,resource_type 8
6439,resource_type 8
15350,resource_type 8
5512,resource_type 8
16346,resource_type 8
12308,resource_type 8
14668,resource_type 8
16441,resource_type 8
16562,resource_type 8
9919,resource_type 8
12731,resource_type 8
17525,resource_type 8
2829,resource_type 8
13065,resource_type 8
13888,resource_type 8
2067,resource_type 8
17949,resource_type 8
886,resource_type 8
18120,resource_type 8
17434,resource_type 8
4884,resource_type 8
7017,resource_type 8
18407,resource_type 8
17867,resource_type 8
17134,resource_type 8
14131,resource_type 8
6517,resource_type 8
10666,resource_type 8
14592,resource_type 8
8759,resource_type 8
7878,resource_type 8
13792,resource_type 2
13792,resource_type 8
17833,resource_type 8
14360,resource_type 8
4591,resource_type 8
16142,resource_type 8
628,resource_type 8
893,resource_type 8
11341,resource_type 8
6581,resource_type 8
13606,resource_type 8
10407,resource_type 8
17931,resource_type 8
6564,resource_type 8
9848,resource_type 8
9598,resource_type 8
12282,resource_type 8
15099,resource_type 8
11207,resource_type 8
6160,resource_type 8
12569,resource_type 8
10492,resource_type 8
1126,resource_type 8
3684,resource_type 8
11968,resource_type 8
9372,resource_type 8
1477,resource_type 8
14661,resource_type 8
14997,resource_type 8
2322,resource_type 8
7354,resource_type 8
11981,resource_type 8
7279,resource_type 8
386,resource_type 8
7835,resource_type 8
12590,resource_type 8
4092,resource_type 8
14100,resource_type 8
9722,resource_type 8
12495,resource_type 8
12227,resource_type 8
5693,resource_type 8
13688,resource_type 8
17825,resource_type 8
11878,resource_type 8
13552,resource_type 8
10520,resource_type 8
10137,resource_type 8
855,resource_type 8
17557,resource_type 8
3667,resource_type 8
11352,resource_type 2
11352,resource_type 8
13408,resource_type 8
5178,resource_type 8
7372,resource_type 8
7372,resource_type 1
5784,resource_type 1
5784,resource_type 8
4047,resource_type 8
11367,resource_type 8
17801,resource_type 8
460,resource_type 8
12790,resource_type 8
2999,resource_type 8
5476,resource_type 8
17540,resource_type 8
8880,resource_type 8
13391,resource_type 8
12112,resource_type 8
10676,resource_type 8
11133,resource_type 8
1508,resource_type 8
375,resource_type 8
12473,resource_type 8
3692,resource_type 8
14557,resource_type 8
17724,resource_type 8
8673,resource_type 8
18253,resource_type 8
595,resource_type 8
6565,resource_type 8
17749,resource_type 8
10783,resource_type 8
2216,resource_type 8
15716,resource_type 8
18116,resource_type 8
10572,resource_type 8
8234,resource_type 8
11189,resource_type 8
11895,resource_type 8
4658,resource_type 8
4674,resource_type 8
2991,resource_type 8
6747,resource_type 8
3052,resource_type 8
6990,resource_type 8
5439,resource_type 8
13612,resource_type 8
8173,resource_type 8
6902,resource_type 8
18176,resource_type 8
11790,resource_type 8
15693,resource_type 8
5320,resource_type 8
3877,resource_type 8
13361,resource_type 8
15072,resource_type 8
9280,resource_type 8
3789,resource_type 8
14664,resource_type 8
14647,resource_type 8
9980,resource_type 8
1382,resource_type 8
16456,resource_type 8
13078,resource_type 8
7360,resource_type 8
1493,resource_type 8
5731,resource_type 8
10329,resource_type 8
267,resource_type 8
14087,resource_type 8
13440,resource_type 8
11758,resource_type 8
14439,resource_type 8
8355,resource_type 8
11357,resource_type 8
17017,resource_type 8
5304,resource_type 8
10803,resource_type 8
17568,resource_type 8
4620,resource_type 8
12275,resource_type 8
7146,resource_type 8
11896,resource_type 8
10403,resource_type 8
45,resource_type 8
9928,resource_type 8
2091,resource_type 8
12939,resource_type 8
16012,resource_type 8
1368,resource_type 8
10790,resource_type 8
9911,resource_type 8
14907,resource_type 8
6638,resource_type 8
10857,resource_type 8
4470,resource_type 8
15434,resource_type 8
7667,resource_type 8
3327,resource_type 8
12278,resource_type 8
6267,resource_type 8
17581,resource_type 8
8269,resource_type 8
7055,resource_type 2
14032,resource_type 2
13543,resource_type 2
13341,resource_type 2
17440,resource_type 2
6379,resource_type 2
7864,resource_type 2
10047,resource_type 2
6837,resource_type 2
8007,resource_type 2
6931,resource_type 2
5846,resource_type 2
11038,resource_type 2
10687,resource_type 2
7866,resource_type 2
3881,resource_type 2
12143,resource_type 2
3066,resource_type 2
6689,resource_type 2
6387,resource_type 2
11651,resource_type 2
3864,resource_type 2
9441,resource_type 2
15640,resource_type 2
13801,resource_type 2
12836,resource_type 2
10058,resource_type 2
14839,resource_type 2
1810,resource_type 2
15538,resource_type 2
4217,resource_type 2
6838,resource_type 2
8619,resource_type 2
5714,resource_type 2
7137,resource_type 2
10001,resource_type 2
5785,resource_type 2
2162,resource_type 2
17358,resource_type 2
13837,resource_type 2
17034,resource_type 2
1933,resource_type 2
12182,resource_type 2
18421,resource_type 2
12104,resource_type 2
3431,resource_type 2
2437,resource_type 2
17751,resource_type 2
3429,resource_type 2
11150,resource_type 2
7952,resource_type 2
10593,resource_type 2
516,resource_type 2
17647,resource_type 2
10956,resource_type 2
2550,resource_type 2
14153,resource_type 2
5081,resource_type 2
12379,resource_type 2
1663,resource_type 2
10627,resource_type 2
2656,resource_type 2
4317,resource_type 2
15568,resource_type 2
16021,resource_type 2
15156,resource_type 2
2763,resource_type 2
10136,resource_type 2
6212,resource_type 2
12478,resource_type 2
9898,resource_type 2
9406,resource_type 2
16763,resource_type 2
8466,resource_type 2
9727,resource_type 2
6427,resource_type 2
636,resource_type 2
17830,resource_type 2
5783,resource_type 2
11301,resource_type 2
1059,resource_type 2
8316,resource_type 2
13219,resource_type 2
8750,resource_type 2
15676,resource_type 2
17019,resource_type 2
13987,resource_type 2
8062,resource_type 2
4285,resource_type 2
7944,resource_type 2
10567,resource_type 2
3336,resource_type 2
5526,resource_type 2
3279,resource_type 2
4608,resource_type 2
4184,resource_type 2
11294,resource_type 2
3201,resource_type 2
14132,resource_type 2
14345,resource_type 2
8897,resource_type 2
15400,resource_type 2
15657,resource_type 2
4103,resource_type 2
13733,resource_type 2
13346,resource_type 2
2992,resource_type 2
3064,resource_type 2
12216,resource_type 2
8804,resource_type 8
13299,resource_type 2
7297,resource_type 8
7313,resource_type 8
13382,resource_type 8
13382,resource_type 9
16525,resource_type 8
2847,resource_type 8
18408,resource_type 8
3306,resource_type 8
3306,resource_type 9
8247,resource_type 8
1621,resource_type 8
14811,resource_type 8
3916,resource_type 8
10610,resource_type 8
4741,resource_type 9
13137,resource_type 8
18388,resource_type 8
15584,resource_type 8
15183,resource_type 8
13282,resource_type 2
14297,resource_type 8
14605,resource_type 8
9891,resource_type 8
1992,resource_type 8
11345,resource_type 8
11281,resource_type 8
9421,resource_type 8
4148,resource_type 8
1924,resource_type 8
4922,resource_type 8
13823,resource_type 8
11808,resource_type 8
4418,resource_type 8
5561,resource_type 8
10477,resource_type 8
11173,resource_type 8
1413,resource_type 2
15021,resource_type 8
14464,resource_type 8
5322,resource_type 8
18131,resource_type 8
4161,resource_type 9
12690,resource_type 9
13079,resource_type 9
2185,resource_type 8
2185,resource_type 9
2048,resource_type 9
11776,resource_type 8
11776,resource_type 1
777,resource_type 9
777,resource_type 8
5427,resource_type 8
1803,resource_type 8
753,resource_type 8
9501,resource_type 8
9127,resource_type 8
9476,resource_type 8
14445,resource_type 8
1786,resource_type 8
18249,resource_type 8
12988,resource_type 8
482,resource_type 2
9789,resource_type 8
3420,resource_type 2
4544,resource_type 8
9529,resource_type 8
13473,resource_type 8
12633,resource_type 8
9781,resource_type 8
9782,resource_type 8
1918,resource_type 8
16548,resource_type 8
4557,resource_type 8
4290,resource_type 8
11061,resource_type 8
16193,resource_type 8
14460,resource_type 8
12561,resource_type 8
2869,resource_type 8
8122,resource_type 8
4084,resource_type 8
15811,resource_type 8
1637,resource_type 8
350,resource_type 8
15736,resource_type 8
14261,resource_type 8
16593,resource_type 8
17605,resource_type 8
14326,resource_type 8
14679,resource_type 8
14140,resource_type 8
12233,resource_type 8
12084,resource_type 8
17502,resource_type 8
14463,resource_type 8
812,resource_type 8
12487,resource_type 8
16240,resource_type 8
1598,resource_type 8
17515,resource_type 8
6823,resource_type 8
16724,resource_type 8
12811,resource_type 8
9853,resource_type 8
479,resource_type 8
34,resource_type 3
34,resource_type 8
34,resource_type 2
17416,resource_type 8
17853,resource_type 8
11459,resource_type 8
11887,resource_type 8
16818,resource_type 8
5510,resource_type 8
17033,resource_type 8
7978,resource_type 2
7853,resource_type 8
17533,resource_type 2
17533,resource_type 8
3043,resource_type 8
1677,resource_type 2
810,resource_type 2
14310,resource_type 2
3308,resource_type 8
7076,resource_type 6
7076,resource_type 8
3640,resource_type 6
3640,resource_type 8
15800,resource_type 8
11130,resource_type 8
11130,resource_type 6
11687,resource_type 8
15539,resource_type 8
2580,resource_type 7
8392,resource_type 8
8616,resource_type 8
2407,resource_type 6
2407,resource_type 8
17448,resource_type 6
17448,resource_type 8
4249,resource_type 8
4249,resource_type 6
1294,resource_type 6
1294,resource_type 8
6818,resource_type 6
6818,resource_type 8
5681,resource_type 8
5681,resource_type 4
10981,resource_type 2
11271,resource_type 6
11271,resource_type 8
3594,resource_type 8
3594,resource_type 4
3242,resource_type 8
3242,resource_type 4
17567,resource_type 4
17567,resource_type 8
5736,resource_type 4
5736,resource_type 8
13353,resource_type 2
11198,resource_type 6
11198,resource_type 8
16865,resource_type 6
16865,resource_type 8
16865,resource_type 2
8840,resource_type 8
8840,resource_type 4
8840,resource_type 2
13974,resource_type 2
13974,resource_type 6
13974,resource_type 8
4339,resource_type 6
4339,resource_type 8
4339,resource_type 2
14540,resource_type 6
14540,resource_type 2
14540,resource_type 8
183,resource_type 6
183,resource_type 8
13862,resource_type 4
13862,resource_type 8
2590,resource_type 8
2590,resource_type 6
12015,resource_type 6
12015,resource_type 8
16141,resource_type 8
16141,resource_type 6
8599,resource_type 6
8599,resource_type 8
5484,resource_type 6
5484,resource_type 8
9610,resource_type 6
11215,resource_type 6
11215,resource_type 8
9944,resource_type 1
3861,resource_type 6
3861,resource_type 8
7452,resource_type 6
11994,resource_type 4
11994,resource_type 8
4651,resource_type 8
861,resource_type 4
861,resource_type 8
6321,resource_type 6
6321,resource_type 8
5379,resource_type 6
5379,resource_type 8
3693,resource_type 8
3693,resource_type 6
5190,resource_type 8
5190,resource_type 1
5190,resource_type 6
5340,resource_type 8
5340,resource_type 6
8566,resource_type 6
8566,resource_type 8
4146,resource_type 8
4146,resource_type 6
11291,resource_type 8
11291,resource_type 6
3842,resource_type 2
2353,resource_type 8
10530,resource_type 8
14233,resource_type 8
4747,resource_type 8
5043,resource_type 8
16588,resource_type 2
3156,resource_type 8
14994,resource_type 8
6749,resource_type 8
4300,resource_type 8
7624,resource_type 2
3974,resource_type 2
1351,resource_type 2
9485,resource_type 2
13841,resource_type 2
17730,resource_type 2
3451,resource_type 2
1789,resource_type 2
12373,resource_type 8
9276,resource_type 8
6418,resource_type 8
15844,resource_type 8
14903,resource_type 2
6218,resource_type 8
8662,resource_type 8
2842,resource_type 2
16558,resource_type 8
2499,resource_type 8
5839,resource_type 8
1601,resource_type 8
6416,resource_type 8
5272,resource_type 8
11395,resource_type 8
6644,resource_type 8
13239,resource_type 8
7912,resource_type 8
883,resource_type 8
4460,resource_type 8
8134,resource_type 8
3726,resource_type 8
9647,resource_type 8
1481,resource_type 8
12651,resource_type 8
14467,resource_type 8
13883,resource_type 8
11694,resource_type 8
6450,resource_type 8
9885,resource_type 8
9885,resource_type 2
16982,resource_type 8
816,resource_type 8
18544,resource_type 8
7476,resource_type 8
16998,resource_type 8
3234,resource_type 8
550,resource_type 8
7951,resource_type 8
12236,resource_type 8
3824,resource_type 8
7319,resource_type 8
242,resource_type 8
14552,resource_type 8
4618,resource_type 8
17659,resource_type 8
1053,resource_type 8
12082,resource_type 8
12284,resource_type 8
12886,resource_type 8
3164,resource_type 8
7645,resource_type 8
13432,resource_type 8
16455,resource_type 8
6300,resource_type 8
12668,resource_type 8
5853,resource_type 8
13531,resource_type 8
11531,resource_type 8
15962,resource_type 8
11194,resource_type 8
13461,resource_type 8
2223,resource_type 8
18197,resource_type 8
4532,resource_type 8
2280,resource_type 8
10377,resource_type 8
14909,resource_type 8
10988,resource_type 8
8765,resource_type 8
10535,resource_type 8
17650,resource_type 8
14443,resource_type 8
7420,resource_type 2
2505,resource_type 8
8567,resource_type 8
3130,resource_type 8
7148,resource_type 8
1225,resource_type 8
8116,resource_type 8
15425,resource_type 8
8950,resource_type 8
13229,resource_type 8
5227,resource_type 8
3225,resource_type 8
16461,resource_type 8
10380,resource_type 8
10615,resource_type 8
1946,resource_type 8
12408,resource_type 8
8875,resource_type 8
10924,resource_type 8
14166,resource_type 8
11915,resource_type 8
5553,resource_type 8
7234,resource_type 8
9260,resource_type 8
4738,resource_type 8
9379,resource_type 8
256,resource_type 8
15359,resource_type 8
7404,resource_type 8
10286,resource_type 8
16899,resource_type 8
3672,resource_type 8
9443,resource_type 8
16520,resource_type 8
18494,resource_type 8
9363,resource_type 8
5451,resource_type 8
2540,resource_type 8
11545,resource_type 8
4678,resource_type 8
11899,resource_type 8
10518,resource_type 8
11425,resource_type 8
2274,resource_type 8
12111,resource_type 8
8361,resource_type 8
7124,resource_type 8
7124,resource_type 7
9762,resource_type 7
9762,resource_type 8
6467,resource_type 8
8132,resource_type 8
8132,resource_type 7
6033,resource_type 7
6033,resource_type 8
17643,resource_type 8
13469,resource_type 8
13469,resource_type 2
8117,resource_type 8
17299,resource_type 7
11377,resource_type 8
2655,resource_type 8
14490,resource_type 8
11330,resource_type 8
1974,resource_type 8
2793,resource_type 8
2793,resource_type 2
4758,resource_type 8
6609,resource_type 8
17706,resource_type 8
1319,resource_type 8
5464,resource_type 8
14197,resource_type 8
13632,resource_type 2
9981,resource_type 8
3755,resource_type 8
8990,resource_type 8
160,resource_type 8
15823,resource_type 8
8240,resource_type 8
13506,resource_type 8
6462,resource_type 2
6462,resource_type 8
2219,resource_type 8
13081,resource_type 2
7423,resource_type 8
7766,resource_type 8
3988,resource_type 8
2017,resource_type 8
14425,resource_type 8
1298,resource_type 8
17829,resource_type 8
948,resource_type 8
2576,resource_type 8
4791,resource_type 8
11063,resource_type 8
13470,resource_type 2
12437,resource_type 2
8903,resource_type 2
12804,resource_type 2
8910,resource_type 2
12399,resource_type 2
2397,resource_type 8
2397,resource_type 2
7057,resource_type 2
17474,resource_type 2
14781,resource_type 2
11712,resource_type 2
10512,resource_type 2
5105,resource_type 2
17671,resource_type 2
3330,resource_type 8
11914,resource_type 8
15304,resource_type 8
132,resource_type 8
17156,resource_type 8
6814,resource_type 8
8577,resource_type 8
3733,resource_type 8
8680,resource_type 8
9962,resource_type 8
12361,resource_type 8
3942,resource_type 8
11236,resource_type 8
12958,resource_type 8
11539,resource_type 8
1173,resource_type 8
5325,resource_type 8
17974,resource_type 8
14534,resource_type 8
18496,resource_type 8
7568,resource_type 8
5771,resource_type 8
2654,resource_type 8
9008,resource_type 8
6666,resource_type 8
10770,resource_type 8
6744,resource_type 8
10073,resource_type 8
7203,resource_type 8
13574,resource_type 8
2706,resource_type 8
9028,resource_type 8
9378,resource_type 8
2787,resource_type 8
16787,resource_type 8
5011,resource_type 8
9579,resource_type 8
1255,resource_type 8
17727,resource_type 8
4729,resource_type 8
5247,resource_type 8
12987,resource_type 8
16192,resource_type 8
17573,resource_type 8
15788,resource_type 8
5722,resource_type 8
9078,resource_type 8
12592,resource_type 8
708,resource_type 8
9603,resource_type 8
9860,resource_type 8
16480,resource_type 8
18088,resource_type 8
15001,resource_type 8
16425,resource_type 8
13320,resource_type 8
2100,resource_type 8
11320,resource_type 8
477,resource_type 8
15076,resource_type 8
7910,resource_type 8
13578,resource_type 8
11316,resource_type 8
1245,resource_type 8
6028,resource_type 8
18323,resource_type 8
18005,resource_type 8
17342,resource_type 8
7269,resource_type 8
17874,resource_type 8
12872,resource_type 8
5589,resource_type 8
18528,resource_type 8
9910,resource_type 8
13005,resource_type 8
1110,resource_type 8
12442,resource_type 8
9611,resource_type 8
11875,resource_type 8
14868,resource_type 8
12353,resource_type 8
4526,resource_type 8
10721,resource_type 8
8079,resource_type 8
5030,resource_type 8
9900,resource_type 8
291,resource_type 8
15017,resource_type 8
582,resource_type 8
15314,resource_type 8
